File,Whisper Output,Correct Transcription,Cosine Similarity,Transcription Time
10_words_sample_1.wav, can you provide details on admission deadlines for Arab Academy?,Can you provide details on admission deadlines for Arab Academy?,0.9999999999999999,0.4398219585418701
10_words_sample_2.wav, I need help registering the courses at the era of academy.,I need help registering for courses at the Arab Academy.,0.6472503719134116,0.4617631435394287
10_words_sample_3.wav, What are the available scholarships for students at Arab Academy?,What are the available scholarships for students at Arab Academy?,0.9999999999999999,0.4827077388763428
10_words_sample_4.wav, How can I transfer credits to the Arab Academy program?,How can I transfer credits to the Arab Academy program?,0.9999999999999997,0.49866533279418945
10_words_sample_5.wav, Could you explain the tuition fees for programs that are the Academy?,Could you explain the tuition fees for programs at Arab Academy?,0.6957682205812495,0.4866971969604492
20_words_sample_1.wav, I am interested in applying to the Arab Academy and lead information regarding admission requirements and deadlines for international students.,I am interested in applying to the Arab Academy and need information regarding admission requirements and deadlines for international students.,0.9101113851286252,0.5714707374572754
20_words_sample_2.wav, Could you please provide details about the scholarships available at the Arab Academy for undergraduate students pursuing engineering and business degrees?,Could you please provide details about the scholarships available at the Arab Academy for undergraduate students pursuing engineering and business degrees?,1.0,0.5545156002044678
20_words_sample_3.wav," I have questions about transferring credits from another university to the air of academy, especially for courses in the Computer Science Department.","I have questions about transferring credits from another university to the Arab Academy, especially for courses in the computer science department.",0.8770964200183657,0.5854339599609375
20_words_sample_4.wav," I would like assistance with registering for courses at the Arab Academy, specifically regarding important dates and required documents for enrollment.","I would like assistance with registering for courses at the Arab Academy, specifically regarding important dates and required documents for enrollment.",0.9999999999999997,0.6063768863677979
20_words_sample_5.wav," Can you explain the differences between the engineering specializations of the Air, the Academy and the career opportunities available for graduates?",Can you explain the differences between the engineering specializations at the Arab Academy and the career opportunities available for graduates?,0.8903686002400694,0.5894219875335693
30_words_sample_1.wav," I'm considering applying to the Arab Academy, but I'd like to know more about the specific entry requirements deadlines and the exams required for their engineering and business programs.","I'm considering applying to the Arab Academy, but I'd like to know more about the specific entry requirements, deadlines, and the exams required for their engineering and business programs.",0.9999999999999997,0.7220683097839355
30_words_sample_2.wav," Could you provide a detailed breakdown of tuition costs at the Arabic Adamans, including any additional fees for accommodation textbooks and lab equipment for science and technology courses?","Could you provide a detailed breakdown of tuition costs at the Arab Academy, including any additional fees for accommodation, textbooks, and lab equipment for science and technology courses?",0.880103651342869,0.6333050727844238
30_words_sample_3.wav," I want to transfer credits from another institution to the Arabic Academy, and I need to understand how the process works, including which courses are eligible for transfer and the documentation we did.","I want to transfer credits from another institution to the Arab Academy, and I need to understand how the process works, including which courses are eligible for transfer and the documentation needed.",0.8992739047715934,0.7479979991912842
30_words_sample_4.wav," I'm trying to decide which campus of the Arab Academy would be the best option for me, and I need more details about the different facilities, faculty expertise, and campus services they offer.","I'm trying to decide which campus of the Arab Academy would be the best option for me, and I need more details about the different facilities, faculty expertise, and campus services they offer.",1.0000000000000002,0.7350330352783203
30_words_sample_5.wav," can explain how the Arabic Haddings Online Learning Programs are structured, particularly how assessments and exams are conducted for students who are percents' design.","Can you explain how the Arab Academy's online learning programs are structured, particularly how assessments and exams are conducted for students who are pursuing degrees remotely?",0.740248860716795,0.6851673126220703
40_words_sample_1.wav," I am interested in applying to the Arab Academy, but I would like detailed information regarding the admission process, including all necessary documents, important deadlines, and whether there are any entrance exams that I need to prepare for.","I am interested in applying to the Arab Academy, but I would like detailed information regarding the admission process, including all necessary documents, important deadlines, and whether there are any entrance exams that I need to prepare for.",1.0000000000000002,0.8208026885986328
40_words_sample_2.wav," Could you provide a comprehensive overview of the scholarship opportunities available at the Air Academy for undergraduate students, particularly for those studying, engineering and business, including application procedures and eligibility criteria for international applicants?","Could you provide a comprehensive overview of the scholarship opportunities available at the Arab Academy for undergraduate students, particularly for those studying engineering and business, including application procedures and eligibility criteria for international applicants?",0.9550809039379546,0.8178112506866455
40_words_sample_3.wav," I need assistance with transferring my credits from another university to the air of the Cadement, specifically regarding the required documentation and the evaluation process to ensure that my previous courses align with your program's requirements.","I need assistance with transferring my credits from another university to the Arab Academy, specifically regarding the required documentation and the evaluation process to ensure that my previous courses align with your program's requirements.",0.8976976641887808,0.8058435916900635
40_words_sample_4.wav," Can you explain how the registration process works for new students at the air of the academy, including any important date that should keep in mind and whether there are orientation sessions that I need to attend before classes start?","Can you explain how the registration process works for new students at the Arab Academy, including any important dates I should keep in mind and whether there are orientation sessions that I need to attend before classes start?",0.8732512846539122,0.8786482810974121
40_words_sample_5.wav," I would like to know more about the various engineering specializations offered at the Air of Academy, including the curriculum details and potential career paths that graduates typically pursue after completing their degrees in the field.","I would like to know more about the various engineering specializations offered at the Arab Academy, including the curriculum details and potential career paths that graduates typically pursue after completing their degrees in these fields.",0.8640451312121837,0.7918806076049805
50_words_sample_1.wav," I am planning to apply to the Arab Academy, but I would like more detailed information about the admission requirements, including necessary documents, deadlines for applications. And whether there are any specific entrance exams I need to take before my application is considered.","I am planning to apply to the Arab Academy, but I would like more detailed information about the admission requirements, including necessary documents, deadlines for applications, and whether there are any specific entrance exams I need to take before my application is considered.",1.0000000000000002,0.9285147190093994
50_words_sample_2.wav," could you please provide a comprehensive overview of the scholarships available at the hour of Academy for undergraduate students. I am particularly interested in eligibility criteria of the application procedures and deadlines, especially for international students who wish to pursue degrees in engineering or business.","Could you please provide a comprehensive overview of the scholarships available at the Arab Academy for undergraduate students? I am particularly interested in eligibility criteria, application procedures, and deadlines, especially for international students who wish to pursue degrees in engineering or business.",0.9257038061928912,0.9434740543365479
50_words_sample_3.wav," I need assistance regarding the process of transferring credits from my previous university to the Arab Academy. Specifically, I would like to know the required documentation and how the evaluation process works to ensure my prior courses are recognized by your institution.","I need assistance regarding the process of transferring credits from my previous university to the Arab Academy. Specifically, I would like to know the required documentation and how the evaluation process works to ensure my prior courses are recognized by your institution.",1.0000000000000002,0.9434733390808105
50_words_sample_4.wav," Can you explain the registration process for new students at the era of Academy? I would like to know the important dates to keep in mind, as well as any orientation sessions that I need to attend before the start of classes.","Can you explain the registration process for new students at the Arab Academy? I would like to know the important dates to keep in mind, as well as any orientation sessions that I need to attend before the start of classes.",0.9600203679629689,0.8676807880401611
