File,Whisper Output,Correct Transcription,WER,CER,SER,BLEU,Levenshtein Distance,Cosine Similarity,Transcription Time
10_words_sample_1.wav, Can you provide details on admission deadlines for Air Academy?,Can you provide details on admission deadlines for Arab Academy?,0.1,0.046875,1.0,0.7825422900366437,4,0.8200207392821179,1.3831570148468018
10_words_sample_2.wav, I need help registering for courses at the Arab Academy.,I need help registering for courses at the Arab Academy.,0.0,0.0,1.0,1.0,1,0.9999999999999997,1.3708012104034424
10_words_sample_3.wav, What are the available scholarships for students at Arab Academy?,What are the available scholarships for students at Arab Academy?,0.0,0.0,1.0,1.0,1,0.9999999999999999,1.3574917316436768
10_words_sample_4.wav, How can I transfer credits to the Arab Academy program?,How can I transfer credits to the Arab Academy program?,0.0,0.0,1.0,1.0,1,0.9999999999999997,1.3446950912475586
10_words_sample_5.wav, Could you explain the tuition fees for programs at Air Academy?,Could you explain the tuition fees for programs at Arab Academy?,0.09090909090909091,0.046875,1.0,0.8070557274927981,4,0.8350499057520979,1.294888973236084
20_words_sample_1.wav, I am interested in applying to the Arab Academy and need information regarding admission requirements and deadlines for international students.,I am interested in applying to the Arab Academy and need information regarding admission requirements and deadlines for international students.,0.0,0.0,1.0,1.0,1,1.0000000000000004,1.4675512313842773
20_words_sample_2.wav, Could you please provide details about the scholarships available at the Arab Academy for undergraduate students pursuing engineering and business degrees?,Could you please provide details about the scholarships available at the Arab Academy for undergraduate students pursuing engineering and business degrees?,0.0,0.0,1.0,1.0,1,1.0,1.4944567680358887
20_words_sample_3.wav," I have questions about transferring credits from another university to the Arab Academy, especially for courses in the computer science department.","I have questions about transferring credits from another university to the Arab Academy, especially for courses in the computer science department.",0.0,0.0,1.0,1.0,1,0.9999999999999997,1.5594346523284912
20_words_sample_4.wav," I would like assistance with registering for courses at the Arab Academy, specifically regarding important dates and required documents for enrollment.","I would like assistance with registering for courses at the Arab Academy, specifically regarding important dates and required documents for enrollment.",0.0,0.0,1.0,1.0,1,0.9999999999999997,1.5109779834747314
20_words_sample_5.wav, Can you explain the differences between the engineering specializations at the Arab Academy and the career opportunities available for graduates?,Can you explain the differences between the engineering specializations at the Arab Academy and the career opportunities available for graduates?,0.0,0.0,1.0,1.0,1,1.0000000000000002,1.5272321701049805
30_words_sample_1.wav," I'm considering applying to the Arab Academy, but I'd like to know more about the specific entry requirements, deadlines, and the exams required for their engineering and business programs.","I'm considering applying to the Arab Academy, but I'd like to know more about the specific entry requirements, deadlines, and the exams required for their engineering and business programs.",0.0,0.0,1.0,1.0,1,0.9999999999999997,1.777813196182251
30_words_sample_2.wav," Could you provide a detailed breakdown of tuition costs at the Arab Academy, including any additional fees for accommodation, textbooks, and lab equipment for science and technology courses?","Could you provide a detailed breakdown of tuition costs at the Arab Academy, including any additional fees for accommodation, textbooks, and lab equipment for science and technology courses?",0.0,0.0,1.0,1.0,1,0.9999999999999994,1.8220596313476562
30_words_sample_3.wav," I want to transfer credits from another institution to the Arab Academy, and I need to understand how the process works, including which courses are eligible for transfer and the documentation needed.","I want to transfer credits from another institution to the Arab Academy, and I need to understand how the process works, including which courses are eligible for transfer and the documentation needed.",0.0,0.0,1.0,1.0,1,1.0000000000000002,1.9088945388793945
30_words_sample_4.wav," I'm trying to decide which campus of the Arab Academy would be the best option for me, and I need more details about the different facilities, faculty, expertise, and campus services they offer.","I'm trying to decide which campus of the Arab Academy would be the best option for me, and I need more details about the different facilities, faculty expertise, and campus services they offer.",0.030303030303030304,0.0051813471502590676,1.0,0.9184678024441792,2,1.0000000000000002,1.9916729927062988
30_words_sample_5.wav," Can you explain how the Arab Academy's online learning programs are structured, particularly how assessments and exams are conducted for students who are pursuing degrees remotely?","Can you explain how the Arab Academy's online learning programs are structured, particularly how assessments and exams are conducted for students who are pursuing degrees remotely?",0.0,0.0,1.0,1.0,1,1.0,1.7363557815551758
40_words_sample_1.wav," I am interested in applying to the Air Academy, but I would like detailed information regarding the admission process, including all necessary documents, important deadlines, and whether there are any entrance exams that I need to prepare for.","I am interested in applying to the Arab Academy, but I would like detailed information regarding the admission process, including all necessary documents, important deadlines, and whether there are any entrance exams that I need to prepare for.",0.02631578947368421,0.012295081967213115,1.0,0.9299238452109287,4,0.9505862224808107,1.9926705360412598
40_words_sample_2.wav," Could you provide a comprehensive overview of the scholarship opportunities available at the Arab Academy for undergraduate students, particularly for those studying engineering and business, including application procedures, and eligibility criteria for international applicants?","Could you provide a comprehensive overview of the scholarship opportunities available at the Arab Academy for undergraduate students, particularly for those studying engineering and business, including application procedures and eligibility criteria for international applicants?",0.029411764705882353,0.0035842293906810036,1.0,0.9210500207490827,2,1.0000000000000007,2.0604891777038574
40_words_sample_3.wav," I need assistance with transferring my credits from another university to the Arab Academy, specifically regarding the required documentation and the evaluation process to ensure that my previous courses align with your program's requirements.","I need assistance with transferring my credits from another university to the Arab Academy, specifically regarding the required documentation and the evaluation process to ensure that my previous courses align with your program's requirements.",0.0,0.0,1.0,1.0,1,1.0000000000000004,1.8430700302124023
40_words_sample_4.wav," Can you explain how the registration process works for new students at the Arab Academy, including any important dates I should keep in mind, and whether there are orientation sessions that I need to attend before classes start?","Can you explain how the registration process works for new students at the Arab Academy, including any important dates I should keep in mind and whether there are orientation sessions that I need to attend before classes start?",0.02631578947368421,0.004405286343612335,1.0,0.9299238452109287,2,0.9999999999999992,1.9029102325439453
40_words_sample_5.wav," I would like to know more about the various engineering specializations offered at the Arab Academy, including the curriculum details and potential career paths that graduates typically pursue after completing their degrees in these fields.","I would like to know more about the various engineering specializations offered at the Arab Academy, including the curriculum details and potential career paths that graduates typically pursue after completing their degrees in these fields.",0.0,0.0,1.0,1.0,1,1.0000000000000002,1.9787073135375977
50_words_sample_1.wav," I am planning to apply to the Air Academy, but I would like more detailed information about the admission requirements, including necessary documents, deadlines for applications, and whether there are any specific entrance exams I need to take before my application is considered.","I am planning to apply to the Arab Academy, but I would like more detailed information about the admission requirements, including necessary documents, deadlines for applications, and whether there are any specific entrance exams I need to take before my application is considered.",0.023255813953488372,0.010676156583629894,1.0,0.9385522307631307,4,0.9596667938208485,2.0495188236236572
50_words_sample_2.wav," Could you please provide a comprehensive overview of the scholarships available at the Arab Academy for undergraduate students? I am particularly interested in eligibility criteria, application procedures, and deadlines, especially for international students who wish to pursue degrees in engineering or business.","Could you please provide a comprehensive overview of the scholarships available at the Arab Academy for undergraduate students? I am particularly interested in eligibility criteria, application procedures, and deadlines, especially for international students who wish to pursue degrees in engineering or business.",0.0,0.0,1.0,1.0,1,1.0000000000000007,2.2061009407043457
50_words_sample_3.wav," I need assistance regarding the process of transferring credits from my previous university to the Arab Academy. Specifically, I would like to know the required documentation and how the evaluation process works to ensure my prior courses are recognized by your institution.","I need assistance regarding the process of transferring credits from my previous university to the Arab Academy. Specifically, I would like to know the required documentation and how the evaluation process works to ensure my prior courses are recognized by your institution.",0.0,0.0,1.0,1.0,1,1.0000000000000002,2.232020378112793
50_words_sample_4.wav, Can you explain the registration process for new students at the Arab Academy? I would like to know the important dates to keep in mind as well as any orientation sessions that I need to attend before the start of classes.,"Can you explain the registration process for new students at the Arab Academy? I would like to know the important dates to keep in mind, as well as any orientation sessions that I need to attend before the start of classes.",0.024390243902439025,0.004484304932735426,1.0,0.9353695731020621,2,1.0000000000000002,2.2878806591033936
50_words_sample_5.wav, I am very interested in learning more about the various engineering specializations offered at the Arab Academy. Could you provide detailed information about the curriculum faculty and potential career paths that graduates typically follow after completing their degrees in those fields?,"I am very interested in learning more about the various engineering specializations offered at the Arab Academy. Could you provide detailed information about the curriculum, faculty, and potential career paths that graduates typically follow after completing their degrees in those fields?",0.04878048780487805,0.006920415224913495,1.0,0.9099951253570094,3,1.0000000000000004,2.6389408111572266
